Customer Key,Original Name,Master Customer Name,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,Source
CN992368SERV_GP,10% Cabinetry,10% Cabinetry,Construction,Millwork/cabinetry contractor,2383,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,SERV_GP
TN992067SERV_GP,"109 Independence Lane, Llc",109 Independence Lane,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
16POINTSOLUTIONMECH_GP,16 Point Solution,16 Point Solution,Commercial Services,Business/IT services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,MECH_GP
IN990411SERV_GP,161 Springmill Properties Llc C/O Kennmar Llc,161 Springmill Properties,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: '161 Springmill Properties Llc C/O Kennmar Llc'),,,SERV_GP
CN992360SERV_GP,1633  Clio Avenue,1633 Clio Avenue,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
IN990470SERV_GP,20 N Delaware Llc,20 N Delaware,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
TN991431SERV_GP,21St Mortgage Corporation,21ST Mortgage,Financial Services,,52,Rule-Based,,High,Matched financial keyword; Deterministic keyword/pattern match (evidence: '21St Mortgage Corporation'),,,SERV_GP
2NDS IN BLDGMECH_GP,2Nds In Building Material,2NDS IN Building Material,Construction,Building materials supplier/contractor,4441,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Mechanical Contractor,,MECH_GP
CN940350SERV_GP,3001 Highland Partnership,3001 Highland Partnership,Commercial Real Estate,Partnership/property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
TN992121SERV_GP,34 Market Square Llc,34 Market Square,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
NV15030SERV_GP,3665 Mallory Jv Llc Co Foundry Commercial Llc,3665 Mallory Jv,Commercial Real Estate,JV property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
3D TECHMECH_GP,3D Technical Services,3D Technical Services,Construction,Technical services (construction/controls?),5413,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Mechanical Contractor,,MECH_GP
TN992018SERV_GP,3Ls Properties Chattanooga C/O Realty Trust Group,3LS Properties Chattanooga,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: '3Ls Properties Chattanooga C/O Realty Trust Group'),,,SERV_GP
4000 ASSOCIATESMECH_GP,4000 Associates,4000 Associates,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: '4000 Associates'),,,MECH_GP
45NINETYCONSTRUMECH_GP,45 Ninety Construction,45NINETY Construction,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: '45 Ninety Construction'),,,MECH_GP
CN992334SERV_GP,"45Ninety Construction, Inc",45NINETY Construction,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: '45 Ninety Construction'),,,SERV_GP
4J REDEVLOPMECH_GP,4J Redevelopment Llc,4J Redevelopment,Commercial Real Estate,Redevelopment/property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,MECH_GP
IN990440SERV_GP,502 Fletcher Ave Llc,502 Fletcher Ave,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
CN992127SERV_GP,513 Property Management,513 Property Management,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: '513 Property Management'),,,SERV_GP
IN990273SERV_GP,56 Street Llc,56 Street,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
TN991242SERV_GP,625 Market Street,625 Market Street,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
IN990246SERV_GP,8200 Haverstick Llc C/O Jll,JLL Property Management,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'JLL Property Management'),,,SERV_GP
TN991662SERV_GP,93 Palladium Way Property Llc,93 Palladium Way Property,Commercial Real Estate,Property Ownership,531,Heuristic,,Low,Matched weak property-ownership signal; Weak-signal best guess (evidence: '93 Palladium Way Property Llc'),,,SERV_GP
IN990522SERV_GP,9998 East 121St Street,9998 East 121ST Street,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
CN992110SERV_GP,A Childs Hope Int'L,A Childs Hope Intl,Non-Profit / Religious,Nonprofit charity,8132,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
AT REDEVELOPMECH_GP,"A T Redevelopment Company, Llc",A T Redevelopment,Commercial Real Estate,Redevelopment/property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,MECH_GP
AL MILLERMECH_GP,A.L. Miller Plumbing Inc.,AL Miller Plumbing,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'A.L. Miller Plumbing Inc.'),,,MECH_GP
NV00108SERV_GP,A.O. Smith Water Products Company,Ao Smith Water Products,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'A.O. Smith Water Products Company'),,,SERV_GP
CN992062SERV_GP,Abb Optical Group,Abb Optical Group,Commercial Services,Wholesale / Optical Distribution,423460,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,abboptical.com,SERV_GP
LX990368SERV_GP,Abc Automotive Systems Inc,Abc Automotive Systems,Manufacturing,Automotive components,3363,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
TN991418SERV_GP,Abloom Florist,Abloom Florist,Commercial Services,Florist retail,4531,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,SERV_GP
CN991906SERV_GP,Absolute Machine Tools,Absolute Machine Tools,Manufacturing,Machine tool distribution,4238,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
IN990292SERV_GP,Absolute Value Management,Absolute Value Management,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Absolute Value Management'),,,SERV_GP
LV990433SERV_GP,Absolute Value Management,Absolute Value Management,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Absolute Value Management'),,,SERV_GP
TN991439SERV_GP,Accella Tire Fill Systems,Accella Tire Fill Systems,Manufacturing,Industrial equipment,3339,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
IN990319SERV_GP,Accenture Llp,Accenture LLP,Commercial Services,Consulting,5416,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
TN992163SERV_GP,Accenture Llp,Accenture LLP,Commercial Services,Consulting,5416,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
CN992211SERV_GP,Accumet Specialty Metals Inc.,Accumet Specialty Metals,Manufacturing,Specialty metals,331,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
ACCURATEMECH_GP,Accurate Mechanical Solutions,Accurate Mechanical Solutions,Construction,Mechanical contractor,2382,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,MECH_GP
DY991126SERV_GP,Activate Games,Activate Games,Commercial Services,Entertainment/arcade,7139,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,SERV_GP
